Crop,N,P,K,pH,soil_moisture,Recommended Fertilizers,Fertilizer Dosage (kg/ha)
orange,15,5,7,3.807058064,59,"Ammonium Sulfate, Rock Phosphate",9.9
lentil,22,61,21,5.451582364,93,"Urea, Rock Phosphate, MOP",38.13
pigeonpeas,21,59,15,5.654736361,46,"Urea, Rock Phosphate, Potash",34.83
grapes,16,127,196,3.857138363,64,"Rock Phosphate, MOP",124.3
orange,21,6,13,3.914738658,55,"Ammonium Sulfate, Rock Phosphate",14.67
wheat,40,0,4,5.821897993,46,Urea,16.13
banana,101,70,45,6.339474091,44,"Urea, DAP, Potash",72.0
coffee,103,17,33,5.623770995,24,"Urea, DAP, Potash",67.32
coffee,100,19,28,5.534241667,16,"Urea, DAP, Potash",64.68
muskmelon,102,11,54,5.39046064,33,"Urea, DAP, Potash",73.48
banana,104,74,53,6.303911752,44,"Urea, DAP, Potash",77.0
cotton,124,42,24,5.620615784,66,"Urea, DAP, Potash",69.67
muskmelon,102,10,49,5.640204661,28,"Urea, DAP, Potash",70.84
papaya,54,50,54,6.03719308,18,"Urea, DAP, Potash",63.2
pomegranate,15,6,41,5.637021801,25,"Ammonium Sulfate, MOP",27.28
cotton,123,43,16,5.489030341,69,"Urea, DAP, Potash",66.73
mungbean,15,39,21,5.57601033,82,"Urea, DAP, MOP",27.5
banana,98,70,50,6.59600712,36,"Urea, DAP, Potash",87.2
mothbeans,16,39,18,5.406408551,29,"Urea, DAP, MOP",32.12
grapes,15,129,204,3.984046873,64,"Rock Phosphate, MOP",127.6
mothbeans,18,35,15,5.528437265,31,"Urea, DAP, MOP",29.92
jute,76,40,41,5.655899596,22,"Urea, DAP, MOP",69.08
blackgram,41,64,21,5.162985271,62,"Urea, Rock Phosphate, Potash",46.2
lentil,21,63,24,5.678310599,85,"Urea, Rock Phosphate, MOP",39.6
watermelon,100,8,53,5.532387435,66,"Urea, DAP, Potash",59.03
rice,78,44,35,5.692579038,28,"Urea, DAP, Muriate of Potash (MOP)",69.08
mango,20,16,27,4.947607093,19,"Ammonium Sulfate, Potash",27.72
papaya,49,53,45,6.175081846,23,"Urea, DAP, Potash",58.8
papaya,50,51,54,6.101472206,16,"Urea, DAP, Potash",62.0
muskmelon,95,8,52,5.317552435,29,"Urea, DAP, Potash",68.2
papaya,51,54,54,6.15000348,19,"Urea, DAP, Potash",63.6
chickpea,35,63,75,5.36428534,64,"Ammonium Sulfate, DAP, MOP",63.43
mungbean,19,44,15,5.42131241,81,"Urea, DAP, MOP",28.6
pomegranate,24,11,38,5.40740003,31,"Ammonium Sulfate, MOP",32.12
blackgram,43,58,17,5.193971643,64,"Urea, Rock Phosphate, Potash",43.27
mungbean,22,37,18,5.400394883,81,"Urea, DAP, MOP",28.23
pomegranate,15,11,40,5.46180781,29,"Ammonium Sulfate, MOP",29.04
pomegranate,24,12,39,5.375206287,29,"Ammonium Sulfate, MOP",33.0
mothbeans,17,39,17,5.391013551,25,"Urea, DAP, MOP",32.12
blackgram,40,62,23,4.837596372,61,"Urea, Rock Phosphate, Potash",45.83
blackgram,43,55,18,5.066966212,64,"Urea, Rock Phosphate, Potash",42.53
mothbeans,16,42,19,5.329029919,29,"Urea, DAP, MOP",33.88
chickpea,38,59,81,5.68464081,64,"Ammonium Sulfate, DAP, MOP",65.27
kidneybeans,16,62,23,5.556193317,46,"Urea, Rock Phosphate, Potash",37.03
mothbeans,20,35,23,5.401034403,28,"Urea, DAP, MOP",34.32
maize,82,42,23,5.628256624,50,"Urea, DAP, Single Super Phosphate",53.9
wheat,36,3,2,5.888832875,45,Urea,15.03
kidneybeans,15,56,23,5.639056132,45,"Urea, Rock Phosphate, Potash",34.47
maize,83,40,16,5.449150604,53,"Urea, DAP, Single Super Phosphate",50.97
rice,84,43,43,5.475319443,29,"Urea, DAP, Muriate of Potash (MOP)",74.8
muskmelon,100,13,47,5.55712082,26,"Urea, DAP, Potash",70.4
mango,21,18,27,5.022210027,12,"Ammonium Sulfate, Potash",29.04
maize,84,38,15,5.410903367,45,"Urea, DAP, Single Super Phosphate",50.23
pomegranate,21,10,44,5.356856341,27,"Ammonium Sulfate, MOP",33.0
lentil,19,59,24,5.383460765,92,"Urea, Rock Phosphate, MOP",37.4
cotton,120,35,24,5.5993501,70,"Urea, DAP, Potash",65.63
orange,20,10,5,3.91941917,59,"Ammonium Sulfate, Rock Phosphate",12.83
cotton,119,35,17,5.405442176,65,"Urea, DAP, Potash",62.7
grapes,16,122,204,3.889236007,55,"Rock Phosphate, MOP",125.4
kidneybeans,23,58,23,5.462086049,43,"Urea, Rock Phosphate, Potash",38.13
apple,18,128,204,6.579196189,52,"Rock Phosphate, MOP",116.67
mango,16,18,33,4.803380598,17,"Ammonium Sulfate, Potash",29.48
cotton,122,37,20,5.592749301,66,"Urea, DAP, Potash",65.63
pomegranate,17,7,41,5.603598305,25,"Ammonium Sulfate, MOP",28.6
papaya,50,48,51,6.176158814,18,"Urea, DAP, Potash",59.6
banana,102,76,54,6.559128922,43,"Urea, DAP, Potash",77.33
rice,76,41,44,5.605323046,28,"Urea, DAP, Muriate of Potash (MOP)",70.84
grapes,22,123,204,3.929228427,57,"Rock Phosphate, MOP",127.97
wheat,36,4,2,6.027388881,52,Urea,14.0
mango,24,21,27,4.934584465,19,"Ammonium Sulfate, Potash",31.68
apple,24,126,195,6.48277554,54,"Rock Phosphate, MOP",115.0
maize,80,42,18,5.557109465,50,"Urea, DAP, Single Super Phosphate",51.33
orange,21,13,10,4.022063892,64,"Ammonium Sulfate, Rock Phosphate",16.13
watermelon,104,12,47,5.333215503,65,"Urea, DAP, Potash",59.77
grapes,24,120,200,3.932406504,56,"Rock Phosphate, MOP",126.13
blackgram,39,58,20,4.825414289,58,"Urea, Rock Phosphate, Potash",42.9
muskmelon,102,7,48,5.499819481,26,"Urea, DAP, Potash",69.08
mango,22,17,31,5.063740121,18,"Ammonium Sulfate, Potash",30.8
kidneybeans,24,60,15,5.578078584,41,"Urea, Rock Phosphate, Potash",36.3
kidneybeans,21,64,18,5.692394521,44,"Urea, Rock Phosphate, Potash",37.77
coconut,20,10,28,4.881197424,44,"Ammonium Sulfate, Potash",21.27
rice,81,36,44,5.549096511,25,"Urea, DAP, Muriate of Potash (MOP)",70.84
mothbeans,24,43,18,5.596880404,27,"Urea, DAP, MOP",37.4
papaya,54,47,52,6.079309037,16,"Urea, DAP, Potash",61.2
orange,24,6,7,3.958297932,61,"Ammonium Sulfate, Rock Phosphate",13.57
papaya,54,46,48,6.176386315,15,"Urea, DAP, Potash",59.2
muskmelon,95,10,47,5.412771821,29,"Urea, DAP, Potash",66.88
grapes,16,122,196,3.955253232,64,"Rock Phosphate, MOP",122.47
muskmelon,98,7,53,5.325814354,28,"Urea, DAP, Potash",69.52
coffee,97,21,34,5.319183093,22,"Urea, DAP, Potash",66.88
mango,22,17,28,4.80885378,13,"Ammonium Sulfate, Potash",29.48
banana,104,72,52,6.682725868,42,"Urea, DAP, Potash",76.0
lentil,19,61,20,5.4960017,93,"Urea, Rock Phosphate, MOP",36.67
jute,82,39,35,5.368057096,23,"Urea, DAP, MOP",68.64
kidneybeans,23,59,16,5.405402861,44,"Urea, Rock Phosphate, Potash",35.93
maize,79,43,24,5.429558221,48,"Urea, DAP, Single Super Phosphate",53.53
wheat,36,0,4,6.071820735,54,Urea,13.33
rice,79,40,39,5.369128021,29,"Urea, DAP, Muriate of Potash (MOP)",69.52
blackgram,38,62,19,4.826516075,55,"Urea, Rock Phosphate, Potash",43.63
watermelon,97,12,50,5.683331075,69,"Urea, DAP, Potash",58.3
pigeonpeas,24,62,19,5.518650258,48,"Urea, Rock Phosphate, Potash",38.5
grapes,16,122,197,3.964837444,59,"Rock Phosphate, MOP",122.83
lentil,17,59,21,5.303696635,85,"Urea, Rock Phosphate, MOP",35.57
wheat,44,4,0,5.929191493,53,Urea,17.6
mothbeans,19,43,18,5.425300296,29,"Urea, DAP, MOP",35.2
pigeonpeas,22,59,17,5.467503596,41,"Urea, Rock Phosphate, Potash",35.93
apple,23,125,201,6.307844213,49,"Rock Phosphate, MOP",116.33
kidneybeans,24,58,18,5.42354436,42,"Urea, Rock Phosphate, Potash",36.67
grapes,17,127,200,3.992314467,56,"Rock Phosphate, MOP",126.13
muskmelon,102,10,50,5.350872981,32,"Urea, DAP, Potash",71.28
papaya,45,53,48,5.919579091,18,"Urea, DAP, Potash",64.24
banana,103,76,54,6.634225919,40,"Urea, DAP, Potash",93.2
orange,24,12,10,3.824364891,63,"Ammonium Sulfate, Rock Phosphate",16.87
pomegranate,22,13,40,5.694565607,26,"Ammonium Sulfate, MOP",33.0
coconut,20,13,31,4.942759955,43,"Ammonium Sulfate, Potash",23.47
banana,104,73,45,6.409817834,41,"Urea, DAP, Potash",74.0
watermelon,100,10,51,5.34657821,65,"Urea, DAP, Potash",59.03
jute,77,36,39,5.535077788,15,"Urea, DAP, MOP",66.88
watermelon,99,11,45,5.414664233,65,"Urea, DAP, Potash",56.83
pigeonpeas,23,56,18,5.623186276,46,"Urea, Rock Phosphate, Potash",35.57
jute,80,44,39,5.528528006,18,"Urea, DAP, MOP",71.72
orange,16,10,13,4.143064159,55,"Ammonium Sulfate, Rock Phosphate",14.3
coffee,100,19,27,5.544863464,16,"Urea, DAP, Potash",64.24
grapes,23,126,196,4.011108884,61,"Rock Phosphate, MOP",126.5
pomegranate,15,5,38,5.598452391,31,"Ammonium Sulfate, MOP",25.52
coconut,23,9,26,5.017672046,40,"Ammonium Sulfate, Potash",25.52
mungbean,22,35,17,5.628184516,75,"Urea, DAP, MOP",27.13
papaya,53,53,50,5.872477784,22,"Urea, DAP, Potash",68.64
apple,15,129,201,6.350422173,52,"Rock Phosphate, MOP",115.0
blackgram,40,62,17,5.164317972,62,"Urea, Rock Phosphate, Potash",43.63
muskmelon,97,14,52,5.446869526,30,"Urea, DAP, Potash",71.72
coffee,97,24,28,5.442774919,23,"Urea, DAP, Potash",65.56
watermelon,98,12,45,5.309486544,70,"Urea, DAP, Potash",56.83
chickpea,40,63,79,5.650286815,60,"Ammonium Sulfate, DAP, MOP",66.73
pomegranate,15,13,44,5.522105329,29,"Ammonium Sulfate, MOP",31.68
jute,83,39,39,5.588838979,19,"Urea, DAP, MOP",70.84
mango,15,24,29,5.115247576,15,"Ammonium Sulfate, Potash",29.92
rice,76,38,35,5.371304713,33,"Urea, DAP, Muriate of Potash (MOP)",65.56
banana,103,75,45,6.351614715,41,"Urea, DAP, Potash",74.33
maize,84,41,17,5.608052517,50,"Urea, DAP, Single Super Phosphate",52.07
wheat,44,0,0,5.905227886,50,Urea,16.13
blackgram,42,64,23,5.130077174,55,"Urea, Rock Phosphate, Potash",47.3
banana,99,76,47,6.331135661,36,"Urea, DAP, Potash",88.8
coffee,99,15,31,5.383910166,21,"Urea, DAP, Potash",63.8
lentil,15,55,18,5.487773945,86,"Urea, Rock Phosphate, MOP",32.27
watermelon,95,7,53,5.56828123,73,"Urea, DAP, Potash",56.83
pomegranate,16,9,35,5.342767946,34,"Ammonium Sulfate, MOP",26.4
apple,16,120,200,6.4348951,46,"Rock Phosphate, MOP",112.0
rice,80,36,35,5.583144841,31,"Urea, DAP, Muriate of Potash (MOP)",66.44
wheat,45,2,0,5.98701754,49,Urea,17.23
jute,80,35,38,5.454188174,17,"Urea, DAP, MOP",67.32
mungbean,16,39,21,5.612958323,75,"Urea, DAP, MOP",27.87
kidneybeans,17,63,22,5.422177691,49,"Urea, Rock Phosphate, Potash",37.4
coffee,101,15,28,5.425210142,18,"Urea, DAP, Potash",63.36
