Crop,Pest,Pesticide,Application Method,Dosage
Soybean,Bollworm,Cartap Hydrochloride,Spray,1.5 ml/L
Soybean,Armyworm,Chlorpyrifos,Spray,2.0 ml/L
Soybean,Barley Yellow Dwarf Virus,Chlorpyrifos,Soil Drench,0.3 ml/L
Soybean,Soybean Looper,Imidacloprid,Soil Drench,1.5 g/L
Soybean,Aphids,Fipronil,Soil Drench,2.0 ml/L
Soybean,Aphids,Azadirachtin (Neem Oil),Spray,0.8 ml/L
Soybean,Potato Beetle,Lambda-cyhalothrin,Soil Drench,1.5 ml/L
Soybean,Stem Borer,Spinosad,Spray,1.0 ml/L
Soybean,Stem Borer,Azadirachtin (Neem Oil),Spray,1.0 ml/L
Soybean,Soybean Looper,Cartap Hydrochloride,Soil Application,2.5 ml/L
Soybean,Potato Beetle,Cartap Hydrochloride,Soil Drench,2.0 ml/L
Soybean,Soybean Looper,Cartap Hydrochloride,Soil Application,2.5 ml/L
Soybean,Barley Yellow Dwarf Virus,Thiamethoxam,Soil Application,1.0 g/L
Soybean,Aphids,Bacillus thuringiensis,Soil Drench,3.0 g/L
Soybean,Soybean Looper,Azadirachtin (Neem Oil),Spray,1.5 ml/L
Soybean,Whitefly,Spinosad,Spray,1.5 ml/L
Soybean,Aphids,Azadirachtin (Neem Oil),Spray,0.8 ml/L
Soybean,Peanut Bud Necrosis Virus,Imidacloprid,Spray,2.0 ml/L
Soybean,Whitefly,Spinosad,Soil Drench,1.0 g/L
Soybean,Aphids,Bacillus thuringiensis,Spray,2.0 ml/L
Soybean,Aphids,Pyrethrin,Soil Drench,0.3 ml/L
Soybean,Whitefly,Spinosad,Spray,1.5 ml/L
Soybean,Barley Yellow Dwarf Virus,Chlorpyrifos,Soil Drench,0.3 ml/L
Soybean,Potato Beetle,Chlorpyrifos,Soil Application,2.0 ml/L
Soybean,Soybean Looper,Bacillus thuringiensis,Soil Application,1.5 ml/L
Soybean,Whitefly,Cartap Hydrochloride,Spray,1.5 g/L
Soybean,Soybean Looper,Azadirachtin (Neem Oil),Spray,2.5 ml/L
Soybean,Bollworm,Pyrethrin,Soil Application,1.0 ml/L
Soybean,Aphids,Bacillus thuringiensis,Soil Drench,3.0 g/L
Soybean,Stem Borer,Azadirachtin (Neem Oil),Soil Application,1.5 g/L
Soybean,Peanut Bud Necrosis Virus,Fipronil,Soil Drench,1.5 g/L
Soybean,Barley Yellow Dwarf Virus,Spinosad,Spray,2.0 ml/L
Soybean,Soybean Looper,Imidacloprid,Soil Drench,1.5 g/L
Soybean,Barley Yellow Dwarf Virus,Chlorpyrifos,Soil Drench,0.3 ml/L
Soybean,Aphids,Thiamethoxam,Soil Drench,3.0 g/L
Soybean,Armyworm,Thiamethoxam,Spray,1.5 ml/L
Soybean,Potato Beetle,Lambda-cyhalothrin,Soil Drench,1.5 ml/L
Soybean,Peanut Bud Necrosis Virus,Bacillus thuringiensis,Spray,1.0 ml/L
Soybean,Soybean Looper,Bacillus thuringiensis,Spray,2.0 ml/L
Soybean,Potato Beetle,Fipronil,Spray,1.5 ml/L
Soybean,Bollworm,Spinosad,Soil Drench,0.8 ml/L
Soybean,Aphids,Thiamethoxam,Soil Drench,1.5 ml/L
Soybean,Peanut Bud Necrosis Virus,Fipronil,Spray,1.0 g/L
Soybean,Armyworm,Thiamethoxam,Soil Drench,0.8 ml/L
Soybean,Armyworm,Chlorpyrifos,Spray,2.0 ml/L
Soybean,Potato Beetle,Chlorpyrifos,Soil Application,2.0 ml/L
Soybean,Aphids,Bacillus thuringiensis,Spray,2.0 ml/L
Soybean,Aphids,Thiamethoxam,Soil Drench,3.0 g/L
Soybean,Whitefly,Cartap Hydrochloride,Spray,1.5 g/L
Soybean,Aphids,Fipronil,Soil Drench,2.0 ml/L
Soybean,Bollworm,Azadirachtin (Neem Oil),Soil Drench,0.3 ml/L
Soybean,Bollworm,Chlorpyrifos,Soil Application,2.0 ml/L
Soybean,Soybean Looper,Bacillus thuringiensis,Soil Application,2.0 ml/L
Soybean,Potato Beetle,Azadirachtin (Neem Oil),Soil Application,2.0 ml/L
Soybean,Aphids,Thiamethoxam,Soil Drench,1.5 ml/L
Soybean,Soybean Looper,Azadirachtin (Neem Oil),Spray,2.5 ml/L
Soybean,Whitefly,Chlorpyrifos,Soil Drench,3.0 g/L
Soybean,Aphids,Pyrethrin,Soil Drench,0.3 ml/L
Soybean,Potato Beetle,Imidacloprid,Soil Application,2.5 ml/L
Soybean,Stem Borer,Chlorpyrifos,Soil Application,1.5 g/L
Soybean,Barley Yellow Dwarf Virus,Chlorpyrifos,Soil Drench,2.0 ml/L
Soybean,Soybean Looper,Imidacloprid,Spray,2.0 ml/L
Soybean,Stem Borer,Chlorpyrifos,Soil Application,1.5 g/L
Soybean,Aphids,Bacillus thuringiensis,Soil Drench,3.0 g/L
Soybean,Aphids,Bacillus thuringiensis,Soil Drench,3.0 g/L
Soybean,Whitefly,Lambda-cyhalothrin,Spray,0.8 ml/L
Soybean,Peanut Bud Necrosis Virus,Bacillus thuringiensis,Spray,1.0 ml/L
Soybean,Soybean Looper,Pyrethrin,Soil Drench,0.3 ml/L
Soybean,Stem Borer,Fipronil,Soil Application,0.3 ml/L
Soybean,Soybean Looper,Bacillus thuringiensis,Soil Application,1.5 ml/L
Soybean,Stem Borer,Spinosad,Spray,1.0 ml/L
Soybean,Potato Beetle,Lambda-cyhalothrin,Soil Drench,1.5 ml/L
Soybean,Aphids,Azadirachtin (Neem Oil),Spray,0.8 ml/L
Soybean,Bollworm,Azadirachtin (Neem Oil),Soil Drench,0.3 ml/L
Soybean,Stem Borer,Chlorpyrifos,Spray,2.5 ml/L
Soybean,Stem Borer,Chlorpyrifos,Spray,1.0 g/L
Soybean,Whitefly,Chlorpyrifos,Soil Drench,3.0 g/L
Soybean,Peanut Bud Necrosis Virus,Bacillus thuringiensis,Spray,1.0 ml/L
Soybean,Armyworm,Fipronil,Soil Drench,2.5 ml/L
Soybean,Whitefly,Lambda-cyhalothrin,Spray,0.8 ml/L
Soybean,Sugarcane Borer,Cartap Hydrochloride,Soil Drench,1.5 ml/L
Soybean,Whitefly,Spinosad,Soil Drench,1.0 g/L
Soybean,Soybean Looper,Bacillus thuringiensis,Soil Application,1.5 ml/L
Soybean,Aphids,Bacillus thuringiensis,Spray,2.0 ml/L
Soybean,Bollworm,Azadirachtin (Neem Oil),Soil Drench,0.3 ml/L
Soybean,Stem Borer,Fipronil,Soil Application,0.3 ml/L
Soybean,Soybean Looper,Imidacloprid,Soil Drench,1.5 g/L
Soybean,Peanut Bud Necrosis Virus,Thiamethoxam,Soil Drench,1.0 ml/L
Soybean,Stem Borer,Chlorpyrifos,Spray,1.0 g/L
Soybean,Bollworm,Azadirachtin (Neem Oil),Soil Drench,0.3 ml/L
Soybean,Soybean Looper,Bacillus thuringiensis,Soil Application,1.5 ml/L
Soybean,Soybean Looper,Bacillus thuringiensis,Soil Application,1.5 ml/L
Soybean,Soybean Looper,Pyrethrin,Soil Drench,0.3 ml/L
Soybean,Aphids,Pyrethrin,Soil Drench,0.3 ml/L
Soybean,Soybean Looper,Chlorpyrifos,Spray,0.3 ml/L
Sugarcane,Peanut Bud Necrosis Virus,Imidacloprid,Soil Drench,1.0 g/L
Sugarcane,Barley Yellow Dwarf Virus,Lambda-cyhalothrin,Soil Drench,2.0 ml/L
Sugarcane,Stem Borer,Lambda-cyhalothrin,Soil Application,2.5 ml/L
Sugarcane,Whitefly,Azadirachtin (Neem Oil),Soil Drench,1.0 g/L
Sugarcane,Peanut Bud Necrosis Virus,Fipronil,Soil Drench,1.5 g/L
Sugarcane,Bollworm,Bacillus thuringiensis,Soil Drench,0.8 ml/L
Sugarcane,Aphids,Cartap Hydrochloride,Soil Drench,2.5 ml/L
Sugarcane,Soybean Looper,Bacillus thuringiensis,Soil Application,0.3 ml/L
Sugarcane,Stem Borer,Azadirachtin (Neem Oil),Soil Application,2.0 ml/L
Sugarcane,Soybean Looper,Cartap Hydrochloride,Soil Application,2.0 ml/L
Sugarcane,Sugarcane Borer,Imidacloprid,Soil Drench,3.0 g/L
Sugarcane,Barley Yellow Dwarf Virus,Cartap Hydrochloride,Soil Application,1.5 g/L
Sugarcane,Peanut Bud Necrosis Virus,Spinosad,Spray,2.0 ml/L
Sugarcane,Potato Beetle,Pyrethrin,Soil Application,1.5 g/L
Sugarcane,Bollworm,Bacillus thuringiensis,Soil Drench,0.8 ml/L
Sugarcane,Barley Yellow Dwarf Virus,Cartap Hydrochloride,Soil Application,3.0 g/L
Sugarcane,Bollworm,Bacillus thuringiensis,Soil Drench,0.8 ml/L
Sugarcane,Peanut Bud Necrosis Virus,Spinosad,Spray,2.0 ml/L
Sugarcane,Armyworm,Azadirachtin (Neem Oil),Spray,2.0 ml/L
Sugarcane,Barley Yellow Dwarf Virus,Spinosad,Soil Drench,2.0 ml/L
Sugarcane,Soybean Looper,Pyrethrin,Soil Drench,2.0 ml/L
Sugarcane,Armyworm,Lambda-cyhalothrin,Soil Drench,1.0 g/L
Sugarcane,Barley Yellow Dwarf Virus,Cartap Hydrochloride,Soil Application,3.0 g/L
Sugarcane,Sugarcane Borer,Lambda-cyhalothrin,Spray,1.5 ml/L
Sugarcane,Whitefly,Fipronil,Soil Application,3.0 g/L
Sugarcane,Armyworm,Lambda-cyhalothrin,Soil Drench,1.0 g/L
Sugarcane,Stem Borer,Chlorpyrifos,Soil Drench,0.8 ml/L
Sugarcane,Sugarcane Borer,Imidacloprid,Soil Drench,3.0 g/L
Sugarcane,Aphids,Chlorpyrifos,Soil Application,2.0 ml/L
Sugarcane,Whitefly,Chlorpyrifos,Soil Drench,1.5 g/L
Sugarcane,Armyworm,Spinosad,Soil Application,2.0 ml/L
Sugarcane,Whitefly,Cartap Hydrochloride,Soil Drench,1.0 g/L
Sugarcane,Soybean Looper,Thiamethoxam,Spray,2.0 ml/L
Sugarcane,Bollworm,Bacillus thuringiensis,Soil Drench,0.8 ml/L
Sugarcane,Barley Yellow Dwarf Virus,Spinosad,Soil Application,2.0 ml/L
Sugarcane,Aphids,Chlorpyrifos,Spray,1.0 g/L
Sugarcane,Whitefly,Cartap Hydrochloride,Spray,1.5 g/L
Sugarcane,Soybean Looper,Spinosad,Soil Drench,2.0 ml/L
Sugarcane,Sugarcane Borer,Chlorpyrifos,Soil Application,1.0 ml/L
Sugarcane,Peanut Bud Necrosis Virus,Pyrethrin,Soil Drench,2.0 ml/L
Sugarcane,Barley Yellow Dwarf Virus,Lambda-cyhalothrin,Soil Drench,2.0 ml/L
Sugarcane,Soybean Looper,Chlorpyrifos,Soil Drench,2.0 ml/L
Sugarcane,Sugarcane Borer,Cartap Hydrochloride,Soil Application,0.3 ml/L
Sugarcane,Sugarcane Borer,Cartap Hydrochloride,Spray,3.0 g/L
Sugarcane,Bollworm,Imidacloprid,Soil Drench,1.5 ml/L
Sugarcane,Armyworm,Bacillus thuringiensis,Soil Application,3.0 g/L
Sugarcane,Peanut Bud Necrosis Virus,Imidacloprid,Spray,3.0 g/L
Sugarcane,Aphids,Lambda-cyhalothrin,Spray,2.0 ml/L
Sugarcane,Whitefly,Cartap Hydrochloride,Soil Drench,1.0 g/L
Sugarcane,Sugarcane Borer,Imidacloprid,Soil Application,1.5 ml/L
Sugarcane,Aphids,Azadirachtin (Neem Oil),Spray,0.8 ml/L
Sugarcane,Barley Yellow Dwarf Virus,Cartap Hydrochloride,Soil Application,1.5 g/L
Sugarcane,Aphids,Pyrethrin,Soil Drench,2.0 ml/L
Sugarcane,Soybean Looper,Spinosad,Soil Drench,2.0 ml/L
Sugarcane,Aphids,Cartap Hydrochloride,Soil Drench,2.5 ml/L
Sugarcane,Whitefly,Cartap Hydrochloride,Soil Drench,1.0 g/L
Sugarcane,Barley Yellow Dwarf Virus,Spinosad,Soil Application,2.0 ml/L
Sugarcane,Sugarcane Borer,Fipronil,Soil Drench,3.0 g/L
Sugarcane,Barley Yellow Dwarf Virus,Imidacloprid,Soil Drench,2.0 ml/L
Sugarcane,Armyworm,Fipronil,Soil Drench,3.0 g/L
Sugarcane,Aphids,Chlorpyrifos,Spray,1.0 g/L
Sugarcane,Aphids,Azadirachtin (Neem Oil),Spray,1.5 ml/L
Sugarcane,Barley Yellow Dwarf Virus,Cartap Hydrochloride,Soil Application,3.0 g/L
Sugarcane,Armyworm,Imidacloprid,Spray,2.0 ml/L
Sugarcane,Sugarcane Borer,Chlorpyrifos,Soil Drench,1.5 g/L
Sugarcane,Soybean Looper,Imidacloprid,Spray,0.8 ml/L
Sugarcane,Potato Beetle,Cartap Hydrochloride,Soil Application,1.0 g/L
Sugarcane,Stem Borer,Chlorpyrifos,Soil Drench,0.8 ml/L
Sugarcane,Whitefly,Azadirachtin (Neem Oil),Soil Drench,1.0 g/L
Sugarcane,Whitefly,Imidacloprid,Soil Drench,0.3 ml/L
Sugarcane,Bollworm,Bacillus thuringiensis,Soil Drench,0.8 ml/L
Sugarcane,Sugarcane Borer,Chlorpyrifos,Soil Application,1.0 ml/L
Sugarcane,Aphids,Azadirachtin (Neem Oil),Spray,1.5 ml/L
Sugarcane,Armyworm,Imidacloprid,Spray,1.5 ml/L
Sugarcane,Aphids,Pyrethrin,Spray,0.3 ml/L
Sugarcane,Stem Borer,Fipronil,Spray,1.5 ml/L
Sugarcane,Sugarcane Borer,Thiamethoxam,Spray,1.0 g/L
Sugarcane,Aphids,Pyrethrin,Soil Drench,2.0 ml/L
Sugarcane,Barley Yellow Dwarf Virus,Imidacloprid,Soil Application,2.0 ml/L
Sugarcane,Soybean Looper,Azadirachtin (Neem Oil),Soil Application,3.0 g/L
Sugarcane,Armyworm,Spinosad,Soil Application,2.0 ml/L
Sugarcane,Potato Beetle,Thiamethoxam,Soil Application,1.0 g/L
Sugarcane,Barley Yellow Dwarf Virus,Fipronil,Soil Drench,0.8 ml/L
Sugarcane,Whitefly,Imidacloprid,Soil Drench,1.0 ml/L
Sugarcane,Sugarcane Borer,Chlorpyrifos,Soil Application,1.0 ml/L
Sugarcane,Sugarcane Borer,Thiamethoxam,Soil Application,1.0 ml/L
Sugarcane,Whitefly,Chlorpyrifos,Soil Drench,1.5 g/L
Sugarcane,Potato Beetle,Imidacloprid,Soil Drench,1.0 g/L
Sugarcane,Barley Yellow Dwarf Virus,Cartap Hydrochloride,Soil Application,3.0 g/L
Sugarcane,Soybean Looper,Fipronil,Soil Drench,1.0 ml/L
Sugarcane,Armyworm,Spinosad,Soil Application,2.0 ml/L
Sugarcane,Sugarcane Borer,Lambda-cyhalothrin,Spray,1.5 ml/L
Sugarcane,Barley Yellow Dwarf Virus,Spinosad,Spray,3.0 g/L
Sugarcane,Peanut Bud Necrosis Virus,Imidacloprid,Spray,3.0 g/L
Sugarcane,Armyworm,Cartap Hydrochloride,Soil Drench,1.0 g/L
Sugarcane,Potato Beetle,Cartap Hydrochloride,Soil Application,1.0 g/L
Sugarcane,Armyworm,Azadirachtin (Neem Oil),Spray,2.0 ml/L
Sugarcane,Soybean Looper,Thiamethoxam,Spray,1.0 ml/L
Sugarcane,Peanut Bud Necrosis Virus,Pyrethrin,Spray,1.5 g/L
Sugarcane,Sugarcane Borer,Chlorpyrifos,Soil Drench,1.5 g/L
Sugarcane,Barley Yellow Dwarf Virus,Lambda-cyhalothrin,Soil Drench,2.0 ml/L
Sugarcane,Aphids,Pyrethrin,Spray,0.3 ml/L
Sugarcane,Barley Yellow Dwarf Virus,Cartap Hydrochloride,Soil Application,3.0 g/L
Sugarcane,Stem Borer,Lambda-cyhalothrin,Soil Application,2.5 ml/L
Sugarcane,Stem Borer,Lambda-cyhalothrin,Soil Application,1.5 g/L
Sugarcane,Sugarcane Borer,Thiamethoxam,Spray,1.0 g/L
Sugarcane,Barley Yellow Dwarf Virus,Fipronil,Soil Drench,0.8 ml/L
Sugarcane,Stem Borer,Chlorpyrifos,Soil Drench,0.8 ml/L
Sugarcane,Soybean Looper,Azadirachtin (Neem Oil),Soil Application,3.0 g/L
Sugarcane,Stem Borer,Fipronil,Soil Drench,1.0 ml/L
Sugarcane,Aphids,Azadirachtin (Neem Oil),Spray,1.5 ml/L
Sugarcane,Aphids,Lambda-cyhalothrin,Spray,2.0 ml/L
Sugarcane,Sugarcane Borer,Lambda-cyhalothrin,Spray,1.5 ml/L
Sugarcane,Stem Borer,Spinosad,Soil Drench,2.0 ml/L
Sugarcane,Barley Yellow Dwarf Virus,Cartap Hydrochloride,Soil Application,1.5 g/L
Sugarcane,Sugarcane Borer,Chlorpyrifos,Soil Application,1.0 ml/L
Sugarcane,Soybean Looper,Cartap Hydrochloride,Soil Application,2.0 ml/L
Sugarcane,Stem Borer,Lambda-cyhalothrin,Soil Application,2.5 ml/L
Sugarcane,Armyworm,Cartap Hydrochloride,Soil Drench,1.0 g/L
Sugarcane,Sugarcane Borer,Imidacloprid,Spray,2.0 ml/L
Sugarcane,Bollworm,Bacillus thuringiensis,Soil Drench,0.8 ml/L
Sugarcane,Stem Borer,Spinosad,Soil Drench,2.0 ml/L
Sugarcane,Sugarcane Borer,Fipronil,Soil Drench,3.0 g/L
Sugarcane,Aphids,Fipronil,Spray,2.5 ml/L
Sugarcane,Sugarcane Borer,Azadirachtin (Neem Oil),Spray,1.5 ml/L
Sugarcane,Peanut Bud Necrosis Virus,Imidacloprid,Soil Drench,1.0 g/L
Sugarcane,Whitefly,Cartap Hydrochloride,Soil Drench,1.0 g/L
Sugarcane,Sugarcane Borer,Cartap Hydrochloride,Soil Application,0.3 ml/L
Sugarcane,Armyworm,Spinosad,Soil Application,2.0 ml/L
Sugarcane,Aphids,Chlorpyrifos,Spray,1.0 g/L
Sugarcane,Soybean Looper,Azadirachtin (Neem Oil),Soil Application,3.0 g/L
Tomato,Stem Borer,Imidacloprid,Soil Application,0.8 ml/L
Tomato,Whitefly,Imidacloprid,Soil Drench,0.3 ml/L
Tomato,Armyworm,Chlorpyrifos,Soil Application,1.0 g/L
Tomato,Stem Borer,Spinosad,Spray,2.5 ml/L
Tomato,Stem Borer,Spinosad,Spray,2.5 ml/L
Tomato,Stem Borer,Imidacloprid,Spray,2.5 ml/L
Tomato,Barley Yellow Dwarf Virus,Azadirachtin (Neem Oil),Soil Application,2.0 ml/L
Tomato,Bollworm,Thiamethoxam,Soil Drench,3.0 g/L
Tomato,Barley Yellow Dwarf Virus,Lambda-cyhalothrin,Soil Application,1.0 ml/L
Tomato,Armyworm,Chlorpyrifos,Spray,2.0 ml/L
Tomato,Barley Yellow Dwarf Virus,Spinosad,Soil Drench,0.3 ml/L
Tomato,Stem Borer,Azadirachtin (Neem Oil),Soil Application,2.0 ml/L
Tomato,Stem Borer,Imidacloprid,Spray,2.5 ml/L
Tomato,Whitefly,Spinosad,Spray,2.0 ml/L
Tomato,Soybean Looper,Pyrethrin,Spray,2.0 ml/L
Tomato,Bollworm,Imidacloprid,Soil Drench,3.0 g/L
Tomato,Whitefly,Bacillus thuringiensis,Soil Application,2.0 ml/L
Tomato,Armyworm,Chlorpyrifos,Soil Application,1.0 g/L
Tomato,Whitefly,Spinosad,Soil Application,2.0 ml/L
Tomato,Potato Beetle,Azadirachtin (Neem Oil),Spray,2.0 ml/L
Tomato,Bollworm,Imidacloprid,Soil Drench,3.0 g/L
Tomato,Stem Borer,Bacillus thuringiensis,Soil Drench,2.0 ml/L
Tomato,Soybean Looper,Thiamethoxam,Soil Application,2.0 ml/L
Tomato,Potato Beetle,Imidacloprid,Soil Drench,0.3 ml/L
Tomato,Peanut Bud Necrosis Virus,Thiamethoxam,Soil Application,1.5 ml/L
Tomato,Stem Borer,Fipronil,Spray,0.8 ml/L
Tomato,Barley Yellow Dwarf Virus,Lambda-cyhalothrin,Soil Application,1.0 ml/L
Tomato,Potato Beetle,Lambda-cyhalothrin,Soil Drench,0.3 ml/L
Tomato,Whitefly,Pyrethrin,Spray,0.8 ml/L
Tomato,Stem Borer,Bacillus thuringiensis,Soil Drench,2.0 ml/L
Tomato,Whitefly,Azadirachtin (Neem Oil),Soil Drench,1.0 ml/L
Tomato,Armyworm,Pyrethrin,Spray,0.8 ml/L
Tomato,Potato Beetle,Chlorpyrifos,Soil Drench,0.3 ml/L
Tomato,Barley Yellow Dwarf Virus,Lambda-cyhalothrin,Soil Application,2.5 ml/L
Tomato,Aphids,Fipronil,Soil Application,2.0 ml/L
Tomato,Soybean Looper,Cartap Hydrochloride,Spray,0.8 ml/L
Tomato,Stem Borer,Azadirachtin (Neem Oil),Soil Application,2.0 ml/L
Tomato,Bollworm,Imidacloprid,Soil Drench,2.0 ml/L
Tomato,Aphids,Bacillus thuringiensis,Soil Application,1.0 g/L
Tomato,Soybean Looper,Pyrethrin,Spray,2.0 ml/L
Tomato,Barley Yellow Dwarf Virus,Lambda-cyhalothrin,Soil Application,2.5 ml/L
Tomato,Whitefly,Fipronil,Soil Drench,1.0 g/L
Tomato,Soybean Looper,Pyrethrin,Spray,2.0 ml/L
Tomato,Barley Yellow Dwarf Virus,Spinosad,Soil Drench,0.3 ml/L
Tomato,Armyworm,Thiamethoxam,Spray,2.0 ml/L
Tomato,Barley Yellow Dwarf Virus,Cartap Hydrochloride,Soil Drench,1.5 g/L
Tomato,Whitefly,Imidacloprid,Soil Drench,0.3 ml/L
Tomato,Potato Beetle,Imidacloprid,Soil Application,3.0 g/L
Tomato,Whitefly,Spinosad,Soil Application,2.0 ml/L
Tomato,Barley Yellow Dwarf Virus,Spinosad,Soil Drench,0.3 ml/L
Tomato,Whitefly,Fipronil,Soil Drench,1.0 g/L
Tomato,Armyworm,Imidacloprid,Spray,2.0 ml/L
Tomato,Whitefly,Fipronil,Spray,1.5 ml/L
Tomato,Stem Borer,Imidacloprid,Spray,2.5 ml/L
Tomato,Armyworm,Spinosad,Spray,1.0 ml/L
Tomato,Sugarcane Borer,Pyrethrin,Soil Drench,2.0 ml/L
Tomato,Barley Yellow Dwarf Virus,Lambda-cyhalothrin,Soil Application,2.5 ml/L
Tomato,Aphids,Bacillus thuringiensis,Soil Application,1.0 g/L
Tomato,Aphids,Lambda-cyhalothrin,Soil Drench,2.0 ml/L
Tomato,Whitefly,Imidacloprid,Soil Drench,0.3 ml/L
Tomato,Soybean Looper,Thiamethoxam,Soil Application,2.0 ml/L
Tomato,Aphids,Spinosad,Soil Drench,1.5 ml/L
Tomato,Aphids,Spinosad,Spray,3.0 g/L
Tomato,Aphids,Lambda-cyhalothrin,Soil Drench,2.0 ml/L
Tomato,Whitefly,Fipronil,Spray,1.5 ml/L
Tomato,Potato Beetle,Lambda-cyhalothrin,Soil Drench,0.3 ml/L
Tomato,Armyworm,Thiamethoxam,Spray,2.0 ml/L
Tomato,Aphids,Bacillus thuringiensis,Soil Application,1.0 g/L
Tomato,Whitefly,Fipronil,Soil Drench,1.0 g/L
Tomato,Potato Beetle,Spinosad,Spray,2.0 ml/L
Tomato,Whitefly,Fipronil,Soil Application,2.5 ml/L
Tomato,Soybean Looper,Cartap Hydrochloride,Soil Application,2.0 ml/L
Tomato,Potato Beetle,Imidacloprid,Soil Application,3.0 g/L
Tomato,Sugarcane Borer,Pyrethrin,Soil Drench,2.0 ml/L
Tomato,Aphids,Cartap Hydrochloride,Soil Drench,2.0 ml/L
Tomato,Soybean Looper,Cartap Hydrochloride,Spray,0.8 ml/L
Tomato,Potato Beetle,Spinosad,Spray,2.0 ml/L
Tomato,Potato Beetle,Imidacloprid,Soil Application,3.0 g/L
Tomato,Whitefly,Imidacloprid,Soil Drench,0.3 ml/L
Tomato,Potato Beetle,Chlorpyrifos,Soil Drench,0.3 ml/L
Tomato,Aphids,Bacillus thuringiensis,Soil Application,1.0 g/L
Tomato,Whitefly,Fipronil,Spray,1.5 ml/L
Tomato,Whitefly,Pyrethrin,Spray,1.0 g/L
Tomato,Potato Beetle,Imidacloprid,Soil Drench,0.3 ml/L
Tomato,Sugarcane Borer,Lambda-cyhalothrin,Soil Application,1.0 g/L
Tomato,Soybean Looper,Azadirachtin (Neem Oil),Spray,2.0 ml/L
Tomato,Whitefly,Imidacloprid,Soil Drench,0.3 ml/L
Tomato,Whitefly,Fipronil,Soil Application,2.5 ml/L
Tomato,Stem Borer,Fipronil,Spray,0.8 ml/L
Tomato,Potato Beetle,Fipronil,Spray,0.8 ml/L
Tomato,Armyworm,Spinosad,Spray,1.0 ml/L
Tomato,Whitefly,Fipronil,Soil Application,2.5 ml/L
Tomato,Barley Yellow Dwarf Virus,Azadirachtin (Neem Oil),Soil Application,2.0 ml/L
Tomato,Potato Beetle,Lambda-cyhalothrin,Soil Drench,0.3 ml/L
Tomato,Whitefly,Spinosad,Spray,2.0 ml/L
Tomato,Potato Beetle,Lambda-cyhalothrin,Spray,2.5 ml/L
Tomato,Armyworm,Imidacloprid,Spray,2.0 ml/L
Tomato,Whitefly,Fipronil,Soil Application,2.5 ml/L
Tomato,Peanut Bud Necrosis Virus,Thiamethoxam,Soil Application,1.0 g/L
Tomato,Soybean Looper,Cartap Hydrochloride,Soil Application,2.0 ml/L
Tomato,Barley Yellow Dwarf Virus,Lambda-cyhalothrin,Spray,2.5 ml/L
Tomato,Potato Beetle,Azadirachtin (Neem Oil),Spray,2.0 ml/L
Tomato,Stem Borer,Azadirachtin (Neem Oil),Soil Application,2.0 ml/L
Tomato,Stem Borer,Fipronil,Spray,2.0 ml/L
Tomato,Peanut Bud Necrosis Virus,Chlorpyrifos,Spray,0.3 ml/L
Tomato,Whitefly,Azadirachtin (Neem Oil),Soil Drench,1.0 ml/L
Tomato,Bollworm,Azadirachtin (Neem Oil),Soil Application,1.0 g/L
Tomato,Potato Beetle,Spinosad,Soil Application,2.0 ml/L
Tomato,Barley Yellow Dwarf Virus,Spinosad,Soil Drench,0.3 ml/L
Tomato,Potato Beetle,Azadirachtin (Neem Oil),Spray,2.0 ml/L
Tomato,Sugarcane Borer,Pyrethrin,Soil Drench,2.0 ml/L
Tomato,Whitefly,Pyrethrin,Spray,1.0 g/L
Tomato,Potato Beetle,Chlorpyrifos,Soil Drench,2.0 ml/L
Tomato,Armyworm,Thiamethoxam,Soil Drench,2.0 ml/L
Tomato,Soybean Looper,Thiamethoxam,Soil Application,2.0 ml/L
Tomato,Whitefly,Fipronil,Soil Drench,1.0 g/L
Tomato,Whitefly,Fipronil,Soil Application,2.5 ml/L
Tomato,Whitefly,Fipronil,Soil Drench,1.0 g/L
Tomato,Sugarcane Borer,Azadirachtin (Neem Oil),Soil Application,0.8 ml/L
Tomato,Barley Yellow Dwarf Virus,Cartap Hydrochloride,Soil Drench,1.5 g/L
Tomato,Potato Beetle,Lambda-cyhalothrin,Spray,2.5 ml/L
Tomato,Aphids,Spinosad,Spray,3.0 g/L
Tomato,Peanut Bud Necrosis Virus,Thiamethoxam,Soil Application,1.0 g/L
Tomato,Potato Beetle,Azadirachtin (Neem Oil),Spray,2.0 ml/L
Tomato,Aphids,Pyrethrin,Spray,2.5 ml/L
Tomato,Stem Borer,Fipronil,Spray,2.0 ml/L
Tomato,Peanut Bud Necrosis Virus,Azadirachtin (Neem Oil),Spray,3.0 g/L
Tomato,Whitefly,Fipronil,Soil Application,2.5 ml/L
Tomato,Soybean Looper,Thiamethoxam,Soil Application,2.0 ml/L
Tomato,Stem Borer,Fipronil,Spray,2.0 ml/L
Tomato,Whitefly,Fipronil,Soil Drench,1.0 g/L
Wheat,Potato Beetle,Spinosad,Soil Application,3.0 g/L
Wheat,Peanut Bud Necrosis Virus,Lambda-cyhalothrin,Soil Application,2.0 ml/L
Wheat,Aphids,Pyrethrin,Soil Drench,0.8 ml/L
Wheat,Peanut Bud Necrosis Virus,Lambda-cyhalothrin,Spray,2.0 ml/L
Wheat,Bollworm,Imidacloprid,Spray,2.0 ml/L
Wheat,Sugarcane Borer,Pyrethrin,Soil Drench,2.0 ml/L
